fixture_id,league,competition,match_date,match_time,prefix,home_team_clean,away_team,status,result,venue
75,SSFL Sussex Sunday Football League,SSFL Sussex Sunday Football League,2025-12-05,19:45:00,,Cranleigh Masters,Montpelier Villa AFC Masters Reserves,scheduled,,
8,North East Hampshire Youth League,North East Hampshire Youth League,2025-12-06,08:00:00,,Cranleigh U14M Albion,Bourne Blades U14M Whites,scheduled,,
130,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-06,09:30:00,,Cranleigh Blues,Ewhurst Rams,scheduled,,
132,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-06,09:30:00,,Cranleigh Hawks U12,Farncombe Bobcats U12,scheduled,,
133,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-06,09:30:00,,Cranleigh U10 Cobras,Dorkinians U10 Titans,scheduled,,
135,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-06,09:30:00,,Cranleigh U11 Leopards,Albury U11 Eagles,scheduled,,
136,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-06,09:30:00,,Cranleigh U8 Barracudas,Albury U8 Hawks,scheduled,,
137,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-06,09:30:00,,Cranleigh U9 Eagles,Cranleigh U9 Lions,scheduled,,
138,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-06,09:30:00,,Cranleigh U9 Raptors,Milford Pumas U9 City,scheduled,,
131,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-06,09:30:00,CUP,Cranleigh Dons U14,Milford Pumas Cobras U14,scheduled,,
134,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-06,09:30:00,,Cranleigh U11 Jaguars,Albury U11 Kestrels,scheduled,,
200,Horsham & District Youth Football League,Horsham & District Youth Football League,2025-12-06,09:30:00,U15C,Cranleigh U15 Cobras,Plumpton Athletic Juniors U15,scheduled,,
201,Horsham & District Youth Football League,Horsham & District Youth Football League,2025-12-06,09:30:00,U16B,Cranleigh U16 Sharks,Lower Beeding & Handcross Juniors U16 Li,scheduled,,
232,Guildford & Woking Alliance Football League,Guildford & Woking Alliance Football League,2025-12-06,14:00:00,YTA,Cranleigh Development,Pirbright Development U23's,HT,,
216,The MJM Sports Surrey Premier County Football League,The MJM Sports Surrey Premier County Football League,2025-12-06,14:00:00,Prem,Cranleigh (First),CB Hounslow & Abbots (First),scheduled,,
60,Surrey County Womens & Girls League,Surrey County Womens & Girls League,2025-12-07,00:00:00,Dev,Cranleigh U9 Cuckoos,Twickenham Cygnets U9 Purples,KO,,
175,Surrey Primary League,Surrey Primary League,2025-12-07,10:00:00,Cup:,Cranleigh U17 County,Worplesdon Rangers U17 Pioneers,scheduled,,
174,Surrey Primary League,Surrey Primary League,2025-12-07,10:00:00,Cup:,Cranleigh U13 Cobras,Hanworth Villa U13 Demons,scheduled,,
173,Surrey Primary League,Surrey Primary League,2025-12-07,10:00:00,,Cranleigh U11,Mayford Athletic U11 Tigers,scheduled,,
56,Surrey County Womens & Girls League,Surrey County Womens & Girls League,2025-12-07,00:00:00,Dev,Cranleigh U10 Cyclones,Twickenham Cygnets U10 Whites,scheduled,,
57,Surrey County Womens & Girls League,Surrey County Womens & Girls League,2025-12-07,00:00:00,Dev,Cranleigh U11 Crushers,Epsom & Ewell Colts (Girls) U11 Hoops,scheduled,,
58,Surrey County Womens & Girls League,Surrey County Womens & Girls League,2025-12-07,00:00:00,Leag,Cranleigh U15 Cranes,Mole Valley Girls U15 Whites,scheduled,,
59,Surrey County Womens & Girls League,Surrey County Womens & Girls League,2025-12-07,00:00:00,Dev,Cranleigh U9 Coyotes,NPL Youth U9 Tigers,scheduled,,
83,Sussex County Women & Girls Football League,Sussex County Women & Girls Football League,2025-12-07,08:00:00,,Cranleigh U13 Cosmos White,Hollingbury Hawks Youth U13 Girls,scheduled,,
157,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-13,09:30:00,,Cranleigh U9 Bears,Dorkinians U9 Dragons,scheduled,,
12,North East Hampshire Youth League,North East Hampshire Youth League,2025-12-13,09:30:00,,Cranleigh U16M Tigers,Woking Cougars U16M,scheduled,,
204,Horsham & District Youth Football League,Horsham & District Youth Football League,2025-12-13,09:30:00,U15C,Cranleigh U15 Cobras,Ewhurst Junior(The Rams') U15 Rams,scheduled,,
203,Horsham & District Youth Football League,Horsham & District Youth Football League,2025-12-13,09:30:00,U13D,Cranleigh U13 Jaguars,Crawley & Maidenbower Panthers U13 Black,scheduled,,
205,Horsham & District Youth Football League,Horsham & District Youth Football League,2025-12-13,09:30:00,U16B,Cranleigh U16 Sharks,Broadbridge Heath Junior U16 Youth,scheduled,,
155,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-13,09:30:00,,Cranleigh U10 Wolves,Farncombe U10 Wolverines,scheduled,,
156,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-13,09:30:00,,Cranleigh U8 Barracudas,Brockham Badgers U8 Blacks,scheduled,,
153,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-13,09:30:00,,Cranleigh U10 Tigers,Loxwood and Kirdford U10 Lions,scheduled,,
152,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-13,09:30:00,,Cranleigh Koalas U7,Farncombe Vipers U7,KO,,
151,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-13,09:30:00,,Cranleigh Kangaroos U7,Albury Kestrels U7,scheduled,,
150,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-13,09:30:00,,Cranleigh Hawks U12,Dorkinians Yellows U12,scheduled,,
149,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-13,09:30:00,,Cranleigh Harriers U13,Loxwood U13,scheduled,,
154,South Surrey Youth Football League,South Surrey Youth Football League,2025-12-13,09:30:00,,Cranleigh U10 Vipers,Horsell Martians U10,scheduled,,
85,Sussex County Women & Girls Football League,Sussex County Women & Girls Football League,2025-12-14,08:00:00,,Cranleigh U13 Cosmos Blue,Marle Place Wanderers U13 Girls,scheduled,,
86,Sussex County Women & Girls Football League,Sussex County Women & Girls Football League,2025-12-14,08:00:00,,Cranleigh U13 Cosmos White,Woodingdean Wanderers U13 Girls,scheduled,,
68,Surrey County Womens & Girls League,Surrey County Womens & Girls League,2025-12-14,00:00:00,Dev,Cranleigh U9 Cuckoos,Epsom & Ewell Colts (Girls) U9 Hoops,KO,,
178,Surrey Primary League,Surrey Primary League,2025-12-14,10:00:00,,Cranleigh U13 Cobras,Staines & Laleham Juniors FC U13 Gold,scheduled,,
67,Surrey County Womens & Girls League,Surrey County Womens & Girls League,2025-12-14,00:00:00,Dev,Cranleigh U8 Carnage,NPL Youth U8 Jaguars,scheduled,,
66,Surrey County Womens & Girls League,Surrey County Womens & Girls League,2025-12-14,00:00:00,Dev,Cranleigh U11 Tigers Girls,Churt Girls U11 Aurora,scheduled,,
13,North East Hampshire Youth League,North East Hampshire Youth League,2025-12-20,08:00:00,,Cranleigh U12M Harriers,Surrey Nomads U12M Blacks,scheduled,,
219,The MJM Sports Surrey Premier County Football League,The MJM Sports Surrey Premier County Football League,2026-01-03,14:00:00,Prem,Cranleigh (First),Laleham (First),scheduled,,
72,Surrey County Womens & Girls League,Surrey County Womens & Girls League,2026-01-04,00:00:00,Leag,Cranleigh U14 Girls,Twickenham Cygnets U14 Blues,scheduled,,
73,Surrey County Womens & Girls League,Surrey County Womens & Girls League,2026-01-04,00:00:00,Leag,Cranleigh U15 Cranes,Elstead Sharks U15 Girls,scheduled,,
16,North East Hampshire Youth League,North East Hampshire Youth League,2026-01-10,09:30:00,,Cranleigh U16M Tigers,Yateley United Youth U16M Rangers,scheduled,,
220,The MJM Sports Surrey Premier County Football League,The MJM Sports Surrey Premier County Football League,2026-01-10,14:00:00,Prem,Cranleigh (First),Worcester Park (First),scheduled,,
167,South Surrey Youth Football League,South Surrey Youth Football League,2026-01-10,09:30:00,O,Cranleigh Harriers U13,Send United Phantoms U13,scheduled,,
88,Sussex County Women & Girls Football League,Sussex County Women & Girls Football League,2026-01-11,08:00:00,,Cranleigh U13 Cosmos White,Rustington Otters U13 Girls,scheduled,,
237,Farnham & District Sunday Football League,Farnham & District Sunday Football League,2026-01-11,10:30:00,FSD4,Cranleigh Veterans,Woking Veterans Cardinals,scheduled,,
179,Surrey Primary League,Surrey Primary League,2026-01-11,10:00:00,,Cranleigh U17 County,Reigate Priory Youth U17 Falcons,scheduled,,
221,The MJM Sports Surrey Premier County Football League,The MJM Sports Surrey Premier County Football League,2026-01-17,14:00:00,Prem,Cranleigh (First),Addlestone (First),scheduled,,
181,Surrey Primary League,Surrey Primary League,2026-01-18,10:00:00,,Cranleigh U13 Cobras,Burpham Juniors U13 Panthers,scheduled,,
20,North East Hampshire Youth League,North East Hampshire Youth League,2026-01-24,08:00:00,,Cranleigh U14M Albion,Manor Colts U14M Falcons,scheduled,,
182,Surrey Primary League,Surrey Primary League,2026-01-25,10:00:00,,Cranleigh U17 County,Claygate Royals Youth U17 Hounds,scheduled,,
23,North East Hampshire Youth League,North East Hampshire Youth League,2026-01-31,08:00:00,,Cranleigh U12M Harriers,Haslemere Town U12M Rockets,scheduled,,
26,North East Hampshire Youth League,North East Hampshire Youth League,2026-02-07,08:00:00,,Cranleigh U12M Harriers,Hook U12M Tigers,scheduled,,
185,Surrey Primary League,Surrey Primary League,2026-02-08,10:00:00,,Cranleigh U13 Cobras,Ascot United U13 Aces,scheduled,,
239,Farnham & District Sunday Football League,Farnham & District Sunday Football League,2026-02-08,10:30:00,FSD4,Cranleigh Veterans,A.F.C. Farnham Vets,scheduled,,
93,Sussex County Women & Girls Football League,Sussex County Women & Girls Football League,2026-02-08,08:00:00,,Cranleigh U13 Cosmos Blue,Hangleton Rangers Youth U13 Galaxy,scheduled,,
30,North East Hampshire Youth League,North East Hampshire Youth League,2026-02-14,11:30:00,,Cranleigh U16M Tigers,Mytchett Athletic U16M Eagles,scheduled,,
28,North East Hampshire Youth League,North East Hampshire Youth League,2026-02-14,08:00:00,,Cranleigh U12M Harriers,Mytchett Athletic U12M Falcons,scheduled,,
187,Surrey Primary League,Surrey Primary League,2026-02-15,10:00:00,,Cranleigh U17 County,A.F.C. Brooklands U17 Hawks,scheduled,,
189,Surrey Primary League,Surrey Primary League,2026-02-22,10:00:00,,Cranleigh U13 Cobras,West Byfleet Scorpions U13,scheduled,,
213,South East Counties Womens Football League,South East Counties Womens Football League,2026-02-22,14:00:00,SD1,Cranleigh,Guildford Saints,scheduled,,
34,North East Hampshire Youth League,North East Hampshire Youth League,2026-02-28,09:30:00,,Cranleigh U16M Tigers,Farnham Town U16M Bears,scheduled,,
192,Surrey Primary League,Surrey Primary League,2026-03-01,10:00:00,,Cranleigh U17 County,Mayford Athletic U17 Typhoons,scheduled,,
37,North East Hampshire Youth League,North East Hampshire Youth League,2026-03-07,09:30:00,,Cranleigh U16M Tigers,Hook U16M Panthers,scheduled,,
35,North East Hampshire Youth League,North East Hampshire Youth League,2026-03-07,08:00:00,,Cranleigh U12M Harriers,Badshot Lea U12M Youh,scheduled,,
193,Surrey Primary League,Surrey Primary League,2026-03-08,10:00:00,,Cranleigh U13 Cobras,Dundonald United U13 Sunday Reds,scheduled,,
226,The MJM Sports Surrey Premier County Football League,The MJM Sports Surrey Premier County Football League,2026-03-14,14:00:00,Prem,Cranleigh (First),Wimbledon Casuals (First),scheduled,,
227,The MJM Sports Surrey Premier County Football League,The MJM Sports Surrey Premier County Football League,2026-03-21,14:00:00,Prem,Cranleigh (First),Bagshot (First),scheduled,,
228,The MJM Sports Surrey Premier County Football League,The MJM Sports Surrey Premier County Football League,2026-03-28,14:00:00,Prem,Cranleigh (First),Richmond & Kew (First),scheduled,,
243,Farnham & District Sunday Football League,Farnham & District Sunday Football League,2026-03-29,10:30:00,FSD4,Cranleigh Veterans,Liphook United Strollers,scheduled,,
244,Farnham & District Sunday Football League,Farnham & District Sunday Football League,2026-04-19,10:30:00,FSD4,Cranleigh Veterans,Morley Road Academicals Vets,scheduled,,
